Word;translation;Example;Part of speech;Theme;;;;;;;;;;;;;;;;;;;;;
move;двигать(ся);;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
stop;останавливать(ся);;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
lift;поднимать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
raise;поднимать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
rise;подниматься;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
lower;опускать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go out;выходить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go in;входить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
leave;отправляться;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
cross;пересекать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go along;идти вдоль;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
follow;следовать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
turn right / left;повернуть направо / налево;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
arrive;прибывать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
return;возвращаться;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go;идти / ехать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
come;приходить;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
go on foot;идти пешком;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
run;бежать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
fly;летать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
ride;скакать / ехать;;verb;Глаголы движения 	;;;;;;;;;;;;;;;;;;;;;
put;ставить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
lay;положить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
lie;лежать;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
sit;сидеть;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
sit down;садиться;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
stand;стоять / ставить;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
hang;висеть / вешать;;verb;Глаголы положения	;;;;;;;;;;;;;;;;;;;;;
take off;снять;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
take out;достать, вынуть;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put down;поставить, опустить;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put aside;отставить в сторону;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put together;собрать вместе;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
pick up;поднять, подобрать;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put in;вложить, вставить;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put on;надеть;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put off;отложить, отвлекать, отбить желание;;verb;Фразовые глаголы	;;;;;;;;;;;;;;;;;;;;;
live;жить;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
be born;родиться;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
work;работать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
earn;зарабатывать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
eat;есть;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
drink;пить;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
bake;печь;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
fry;жарить;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
boil;кипятить /кипеть;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
wear;носить;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
put on;надевать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
wash;стирать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
iron;гладить;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
go to bed;ложиться спать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
sleep;спать;;verb;Бытовые глаголы	;;;;;;;;;;;;;;;;;;;;;
love;любить;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
like;нравиться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
want;хотеть;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
prefer;предпочитать;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
admire;восхищаться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
hate;ненавидеть;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
accuse/blame;обвинять (blame эмоцианально, accuse официально (в суде));;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
suffer;страдать;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
cry;плакать;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
smile;улыбаться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
laugh;смеяться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
enjoy;наслаждаться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
doubt;сомневаться;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
hurt;делать больно;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
offend;обижать;;verb;Глаголы чувства	;;;;;;;;;;;;;;;;;;;;;
do;делать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
make;делать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
perform;выполнять;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
prepare;готовить;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
hide;прятать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
search;искать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
ﬁnd;находить;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
add;добавлять;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
ﬁll;наполнять;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
reduce;сокращать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
exclude;исключать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
spend;тратить;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
spoil;портить, баловать (в плохом смысле);;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
remain;оставаться;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
keep;владеть;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
possess;;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
belong;принадлежать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
take;брать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
keep;держать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
push;толкать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
pull;тянуть;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
throw;бросать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
open;открывать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
shut;закрывать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
cut;резать;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
pour;лить;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
dry;сушить;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
begin;начинать(ся);;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
appear;появляться;;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
continue;продолжать(ся);;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
take;занимать (время);;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
roll;катить-(ся);;verb;Рабочие операции	;;;;;;;;;;;;;;;;;;;;;
see;видеть;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
look;смотреть;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
listen;слушать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
hear;слышать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
feel;чувствовать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
remember;помнить;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
forget;забывать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
recognize;узнавать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
read;читать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
write;писать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
count;считать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
add;прибавлять;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
subtract;вычитать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
multiply;умножать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
divide;делить;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
think;думать;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
decide;решать ;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
admit;признавать, признаваться;;verb;Глаголы мышления;;;;;;;;;;;;;;;;;;;;;
attack;нападать;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
fight;сражаться;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
defend;защищать;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
win;победить /выиграть;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
lose;проигрывать;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
shoot;стрелять;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
kill;убить;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
wound;ранить ;;verb;Глаголы противостояния;;;;;;;;;;;;;;;;;;;;;
speak;говорить;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
talk;говорить;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
say;сказать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
tell;сказать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
address;обращаться;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
ask;спрашивать / просить;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
answer;отвечать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
allow/permit;разрешать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
prohibit;запрещать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
advise;советовать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
warn;предупреждать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
suggest;предлагать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
give;давать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
offer;предлагать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
buy;покупать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
sell;продавать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
borrow;брать взаймы;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
lend;одолжить;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
introduce;представлять, ввести, запровадити;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
disturb;мешать / беспокоить;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
forgive;прощать;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
apologize;извиняться;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
explain;объяснять;;verb;Глаголы общения;;;;;;;;;;;;;;;;;;;;;
be;быть;;verb;Глаголы наличия;;;;;;;;;;;;;;;;;;;;;
have;иметь;;verb;Глаголы наличия;;;;;;;;;;;;;;;;;;;;;
there is;имеется;;verb;Глаголы наличия;;;;;;;;;;;;;;;;;;;;;
country;страна;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
nature;природа;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
sky;небо;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
sun;солнце;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
air;воздух;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
cloud;облако;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
land;суша;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
continent;континент;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
territory;территория;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
water;вода;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
river;река;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
sea;море;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
lake;озеро;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
forest;лес;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
North;север;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
South;юг;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
East;восток;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
West;запад;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
plant;растение;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
tree;дерево;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
animal;животное;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
bird;птица;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
fish;рыба;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
flower;цветок;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
insect;насекомое;;noun;Мир;;;;;;;;;;;;;;;;;;;;;
information;информация;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
report;сообщение /доклад;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
news;новости;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
rumour;слух, молва, сплетня;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
truth;правда;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
lie;ложь;;noun;Информация;;;;;;;;;;;;;;;;;;;;;
weather;погода;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
season;сезон;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
winter;зима;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
spring;весна;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
summer;лето;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
autumn;осень;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
temperature;температура;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
pressure;давление;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
rain;дождь;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
snow;снег;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
thunder;гром;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
lightning;молния;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
wind;ветер;;noun;Погода;;;;;;;;;;;;;;;;;;;;;
human being;человек;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
man;мужчина;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
woman;женщина;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
child;ребенок;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
girl;девочка;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
boy;мальчик;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
youth;юность, молодость;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
grown-up;взрослый (человек);;noun;Человек;;;;;;;;;;;;;;;;;;;;;
nationality;национальность ;;noun;Человек;;;;;;;;;;;;;;;;;;;;;
love;любовь;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
friendship;дружба;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
envy;зависть;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
wish;желание;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
intention;намерение;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
dream;мечта;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
hope;надежда;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
purpose;цель;;noun;Другое;;;;;;;;;;;;;;;;;;;;;
time;время;;noun;Время;;;;;;;;;;;;;;;;;;;;;
century;столетие, век;;noun;Время;;;;;;;;;;;;;;;;;;;;;
year;год;;noun;Время;;;;;;;;;;;;;;;;;;;;;
month;месяц;;noun;Время;;;;;;;;;;;;;;;;;;;;;
week;неделя;;noun;Время;;;;;;;;;;;;;;;;;;;;;
day;день ;;noun;Время;;;;;;;;;;;;;;;;;;;;;
hour;час;;noun;Время;;;;;;;;;;;;;;;;;;;;;
minute;минута;;noun;Время;;;;;;;;;;;;;;;;;;;;;
clock;часы;;noun;Время;;;;;;;;;;;;;;;;;;;;;
watch;часы;;noun;Время;;;;;;;;;;;;;;;;;;;;;
calendar;календарь;;noun;Время;;;;;;;;;;;;;;;;;;;;;
morning;утро;;noun;Время;;;;;;;;;;;;;;;;;;;;;
midday;полдень;;noun;Время;;;;;;;;;;;;;;;;;;;;;
noon;полдень;;noun;Время;;;;;;;;;;;;;;;;;;;;;
afternoon;время после обеда;;noun;Время;;;;;;;;;;;;;;;;;;;;;
evening;вечер;;noun;Время;;;;;;;;;;;;;;;;;;;;;
night;ночь;;noun;Время;;;;;;;;;;;;;;;;;;;;;
present;настоящее;;noun;Время;;;;;;;;;;;;;;;;;;;;;
past;прошлое;;noun;Время;;;;;;;;;;;;;;;;;;;;;
future;будущее;;noun;Время;;;;;;;;;;;;;;;;;;;;;
beginning;начало;;noun;Время;;;;;;;;;;;;;;;;;;;;;
end;конец;;noun;Время;;;;;;;;;;;;;;;;;;;;;
schedule;расписание;;noun;Время;;;;;;;;;;;;;;;;;;;;;
delay;задержка;;noun;Время;;;;;;;;;;;;;;;;;;;;;
holiday;праздник /каникулы;;noun;Время;;;;;;;;;;;;;;;;;;;;;
weekend;выходные дни;;noun;Время;;;;;;;;;;;;;;;;;;;;;
vacation;каникулы, отпуск;;noun;Время;;;;;;;;;;;;;;;;;;;;;
fridge;холодильник;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
vacuum cleaner;пылесос;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
washing machine;стиральная машина;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
stove;плита;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
iron;утюг;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
body;тело;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
weight;вес;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
bone;кость;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
muscle;мышцы;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
blood;кровь;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
skin;кожа;;noun;Бытовые приборы;;;;;;;;;;;;;;;;;;;;;
